ID,Topic,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
1,markets economy brexit cents inflation brent barrel stocks prices economists,-63.380458461504425,-66.13185034217194,51.885780426162434,0.5355456076895427,0.9991793593332552,0.000834128450002447,0.0005259765687224449,0.35900880107503846,2.606288047646353e-06,0.06873320746191094
2,earnings cents quarter investors stock stocks billion investments brent acquisitions,-68.47312788838788,-70.17570094487915,51.954221201208114,0.5355834834078916,0.9989630688518767,0.0010496307075902487,0.0005853144085987783,0.4400507189854205,5.402255737010169e-06,0.06327869202396089
3,recipe recipes cooking chicken salad terrific butter dish tonight cooked,-54.71624074533748,-56.35903516418908,100.26039296982388,0.5666752587019878,0.9986807604129058,0.0013273818333404137,0.0006655552305909031,0.4228721682191052,3.0394385191244513e-06,0.061030783172957945
4,merger transaction shareholders securities hedge investors regulators loans regulatory shareholder,-68.02049228682445,-70.33470741105118,57.088973876687334,0.5382888904398512,0.9988417547947681,0.0011719675526719242,0.0006254187678086158,0.2895032308874031,2.9529335760548547e-06,0.06348743179811042
5,prosecutors officers police arrest courtroom defendants killings verdict misconduct baltimore,-77.49054836334209,-79.18449008908884,40.056886545642776,0.526704273917354,0.9992276058077136,0.0007745579624746504,0.0005099276719800828,0.3138387455009455,3.2549086198171496e-06,0.06335128018022465
6,islamic militants detained syria militant killings diplomatic kerry qaeda congress,-78.3283053163593,-82.92056906617483,39.36006465816583,0.5262953395412081,0.9989307215754785,0.0010770156443877406,0.0005963830242538178,0.2631364514725636,3.848465114035436e-06,0.05895884406786794
7,polls voters inflation monetary hispanic exit voter margin tax recession,-75.14636117789927,-106.5200019474455,8.088461871741657,0.4950408006477003,0.9992276797732594,0.0007911354797185589,0.0005147159915859096,0.29620433892679576,2.556931905341535e-06,0.07325375366889843
8,delegates trump nomination trumpas partyas republican clinton sanders nominee republicans,-23.95409651185568,-24.234754784664545,20.820240071394498,0.5152499375466851,0.9995779414758073,0.0004286112492098723,0.00038386530728045813,0.5461585439267128,3.149554848550448e-06,0.07795276371337788
9,patients drugs shootings doctors cancer patient medical medicine pain clinical,-64.79329502592886,-67.40139135074483,33.123289038845655,0.5234597513565582,0.9992045955831059,0.0008265161805555184,0.0005226415960458478,0.27866720916806326,1.7888550289449386e-06,0.06726390160915986
10,inning scored innings game mets homer postseason sox scoring season,-39.253181204296105,-39.8239578955452,43.653606354860386,0.530961369721436,0.9990515058275797,0.0009258021225863892,0.0005590517419093639,0.504922454747054,3.777171538517115e-06,0.06731851786152737
11,primaries republicans republican sanders trump nominee democrats partyas sandersas democratic,-35.76478075957522,-36.15070498189017,38.63796907804029,0.5278430567836014,0.9994374793892553,0.0005706895956715845,0.00043780779314061803,0.621562085113768,3.5365602117592324e-06,0.07531057064680556
12,recipes recipe chef dish cooking chicken menu salad dishes cheese,-46.27330594416938,-47.497385631164605,97.39798484714044,0.5664413139975658,0.9986965179435446,0.0013094419141789365,0.0006618327681017655,0.4663871152018796,4.123915627174569e-06,0.0632410980379484
13,cents brent benchmark earnings barrel transaction index shareholders stocks quarter,-59.082152918938135,-117.12349516758547,62.806295526167226,0.5372719018162854,0.9985411859278744,0.0014611666969306708,0.0007069730792406468,0.3484563586894122,3.411810148771414e-06,0.061927700220793476
14,bloc referendum britainas european brexit britain parliament vote cameron immigration,-36.94986483958984,-37.50581811504742,55.49935553388209,0.5393819239402506,0.9993477260016431,0.0006628304113038805,0.00047599050938712376,0.41504059831216694,3.142514193452529e-06,0.07372021330950217
15,republicans republican democrats partyas trump senate nominee democratic senator primaries,-31.64698777357828,-31.89400627774428,34.18469959353487,0.5253208716882198,0.999345147434067,0.0006599465053493289,0.0004708408313126897,0.6152751247804121,4.4278785457811795e-06,0.06897851856644593
16,funny iad excerpts beautiful artist designer sheas literary loved guitar,-85.06680183917572,-87.60585571444932,40.556755778431665,0.52088197152958,0.9990995183330276,0.0009294251540658506,0.0005430039988018402,0.22837029200596928,1.924195475707099e-06,0.06422887390561245
17,cents brent stocks index barrel prices crude quarter benchmark earnings,-40.13284320761774,-41.1570407287007,96.1858040288258,0.5659971616587278,0.9989514768297212,0.0010409906588844037,0.0005937157562662954,0.4245932519610193,4.647863535293134e-06,0.06303363243953229
18,russiaas doping civilians islamic militants athletes mediterranean russian humanitarian laboratory,-98.40550306088723,-271.0422236411788,-49.66303174511947,0.43299269384629757,0.9988531387961425,0.001164495974651216,0.0006269826424243007,0.26499119942574517,2.9011116956641922e-06,0.0692664922859417
19,nytimes warrant dissatisfied journalistic errors com editing paperas welcomes correction,-26.0117431226437,-26.650199152821944,152.69024250308294,0.6075724340526429,0.9989047889919158,0.0010943603142003692,0.0006199079170908475,0.47136635874307475,3.1042182311967327e-06,0.0706442518811412
20,bedrooms dining kitchen floors outdoor brick bedroom upstairs greenwich chef,-67.21085100185371,-69.54666247334868,74.14668123076923,0.5497004377123803,0.9990874872481349,0.000914639487088513,0.0005546859666823671,0.3224205588026709,2.3573499360102624e-06,0.06965110376795527
21,musical broadway album starring premiere netflix songs stars jazz movies,-74.29336566845424,-76.73891261218844,37.840041162123775,0.5255377083240796,0.9990842527194321,0.0009282496169710188,0.0005565397761992816,0.3004885288567494,3.0608797289804274e-06,0.06205259709792136
22,locker transgender districts senate bathrooms constitutional lawmakers courtas schools legislature,-82.58146574431284,-86.402213300242,26.283874297324402,0.5175025909456166,0.9991689321440489,0.0008441844848970423,0.0005368820216185784,0.21262322814661502,2.833055535108213e-06,0.06891467213578696
23,gunman wounded gay police shooting nightclub massacre officers ali mother,-69.03283278967118,-71.27808640094575,12.941035340801704,0.5097221642239096,0.9991847111153166,0.0008323107319223793,0.0005343218755712683,0.2774194963983816,3.4951475015501657e-06,0.06226064061540681
24,officiated graduated groomas bride groom brideas laude cum ii iii,-63.31395237549766,-68.0414920971908,75.45675027137695,0.5552839177903166,0.9988206265377619,0.0011647998974161162,0.0006338403655480687,0.6838816308001318,2.9089066385002877e-06,0.06944791475222399
25,artist recipe recipes cooking artists art galleries chicken paintings exhibition,-92.59483119460292,-152.4901092090272,5.797975883140632,0.5016544083923629,0.9990058430863581,0.001008362549097536,0.0005652439121069853,0.2881799628146523,4.2463567981880895e-06,0.06395278307151599
26,runners clinical tournaments coaches patients tennis slam dna medicine experimental,-117.97838359501145,-401.9412627409749,-73.51594833359229,0.3965769251117021,0.9990377270773966,0.0010038115425469191,0.0005830670633300171,0.22274385641686553,2.3344309132518956e-06,0.06891691593219848
27,musical album jazz lyrics songs premiere broadway composer music song,-49.6328046414312,-50.80113414937637,59.4862546696401,0.5407794886791885,0.9990849371747562,0.0009248470672103698,0.0005583113207346895,0.24269048204766658,3.64112242419832e-06,0.06550413613120505
28,prosecution prosecutors judicial securities federal justice litigation governoras shareholder shareholders,-98.33375446411361,-185.85316281332328,-24.519695929557976,0.45697980239916713,0.9989844798322506,0.00101806207280718,0.0005906188778310673,0.21360581044717486,3.654077593873365e-06,0.0630758491625675
29,innings girardi inning homer hitter yankees yankeesa pitcher scoring outs,-36.66142830061339,-37.46073237327642,93.02958730876864,0.5650567529117413,0.9991472596223204,0.0008384206849401145,0.000530687303196268,0.6042497952369623,3.1844277158169012e-06,0.07565556719542817
30,militants militant islamic civilians fighters gen syria israeli detained ministry,-67.0412041092404,-69.34126978795999,59.467967880205435,0.5397503062191752,0.9989046933142063,0.0011112664598278384,0.0006056763601477408,0.30201784245061014,5.220202548891284e-06,0.06920255165149287
31,rebounds assists playoff playoffs postseason warriors scored game curry finals,-28.933128160936867,-29.52356739776208,63.38022888560316,0.5450243580980997,0.9990657377463008,0.0009149795597582114,0.0005619046230942907,0.5304405125579965,4.36912952541116e-06,0.07088811792264939
32,microsoft software apple smartphone app brands streaming apps contemporary google,-80.5194464442767,-111.57333422194009,14.079704216993782,0.5054870139638865,0.9983206683255594,0.0016989296922809449,0.0007762303835092826,0.4154498669084411,2.7434272369447733e-06,0.05960471810878698
33,rebounds warriors curry assists cavaliers finals thunder game playoff points,-23.16643352085945,-23.769436794154643,52.2581442467464,0.5366485062298126,0.9992292437056511,0.0007683405942035404,0.0005143304681676972,0.5485380583067544,3.9134980006833915e-06,0.07657974802058269
34,delegates mrs clinton sanders clintonas nominee nomination primaries republican democratic,-27.653137375536403,-27.987662099176895,33.97643385866553,0.5247547272840867,0.999493705396494,0.0005159008940461594,0.0004161658235954132,0.5838946642193974,4.515300031741324e-06,0.07526946871561348
35,defenseman semifinal cup playoff scored champions playoffs tournament semifinals slam,-71.81112300460815,-102.14738550596586,50.58429642058584,0.5293020142770756,0.9991967202172586,0.0007969023156661995,0.0005284901983746859,0.35485867968218515,3.905347882242862e-06,0.06728996877885061
36,slam semifinals semifinal tournament champions qualifying singles madrid matches cup,-52.67900730365399,-54.342953864773364,83.04351629562103,0.5553383963122802,0.998986403965798,0.0010149393291343722,0.0005962801496149768,0.32763332601767037,3.3767973222240955e-06,0.0657696202736129
37,officiated graduated bride groom groomas brideas ii laude cum masteras,-52.80347655507351,-55.67444728292254,97.53601226233127,0.5706130339357893,0.9988257345173409,0.0011616849225758949,0.0006322693415628887,0.6526001481192791,3.752965003455698e-06,0.06502853581952082
38,officiated graduated laude cum brideas groom bride groomas masteras priest,-33.40340564015279,-34.26191058535743,138.71291831996282,0.5963823623133893,0.9989136305892181,0.0010812356364593046,0.0006099312698105433,0.6293776579013444,3.2180229731429298e-06,0.0674504983816475
39,apps app ingredients recipes google cooking recipe consumers microsoft smartphone,-90.10502142133578,-231.80790355576602,-36.943620247339936,0.4470751335038387,0.9988016653532626,0.0012281781760366893,0.0006529688651331613,0.27178174312788994,2.912384846227968e-06,0.06431509201923033
40,inning innings homer scoring sox girardi outs hitter game plate,-30.663359545141905,-31.298072918917363,81.0030164166108,0.5566545609732326,0.9992180964160288,0.0007757591968491252,0.0005107547533740621,0.565373041975699,3.770508308838759e-06,0.06919229493255516
41,doping athletes russiaas emissions regulators penalties laboratory olympics russian vehicles,-87.86500147695632,-231.9285689142374,-49.34775653693604,0.4423431206590809,0.9989168282532523,0.00110461488576146,0.00060719162037131,0.2104121415289993,3.5983130019848155e-06,0.06602610654649017
42,songs wedding musical dancing album singing sang actress motheras novel,-93.24148369909669,-97.04089523044257,39.03964765431694,0.5259156521740517,0.9991003311869059,0.0009250047833396724,0.0005453700690087635,0.19757370946291333,3.6818292929335087e-06,0.06569644129869617
43,inning innings yankees yankeesa starter mets batting girardi metsa hitter,-34.0487455371886,-34.90031467453174,80.50276549474707,0.5565659918165451,0.9991372716768905,0.0008552917359947196,0.0005431523834357869,0.569132080891148,3.2436154044416592e-06,0.07059050984880244
44,bedrooms floors bedroom dining kitchen residential suite outdoor brick wood,-54.37388357918206,-55.58383776499262,85.75316977169338,0.5581516146051739,0.9990725926908831,0.0009360795748898324,0.0005591989467224432,0.309242233954724,2.3875067723984528e-06,0.06539520388877591
45,sanctions bloc emissions chinaas european europeas nuclear governments bankas banks,-87.17949341185655,-119.53799128560743,-11.87712125854986,0.482747843570976,0.9988256327655111,0.0012075170196391212,0.0006226096734388427,0.22113762923308036,3.819860984351829e-06,0.056515201236643
46,islamic qaeda syria saudi militants militant civilians islam arabia coalition,-59.44971099878398,-60.949827400042714,62.70833779239075,0.5422293174443988,0.9991000015712143,0.000912150706839802,0.0005512974913857842,0.34087712202382664,3.5030487340386257e-06,0.06007826019843106
47,bedrooms buyers dining bedroom brick square kitchen contemporary floors residential,-58.86317966897013,-60.165924364553014,67.84768280051257,0.5464699856114477,0.9990419673393867,0.0009699971776670241,0.0005629372419242992,0.36857788533031766,3.2934252326561157e-06,0.0689697529195557
48,prosecutors defendants defendant prosecutor attorney sentencing sentenced courtroom convicted prosecution,-55.84195642364448,-57.16387122920731,94.08447852744358,0.563865471670043,0.998988747026526,0.0010060672035558825,0.0005867024806985367,0.33308152062996566,3.552613437790107e-06,0.06686719474055963
49,hospitals schools students districts transgender income colleges teachers teacher administration,-76.8753003539985,-106.99425002442423,-5.882592612270427,0.49211402962607725,0.9993843413050562,0.00063652869662609,0.00046233432004647745,0.2651596850148555,2.949620450040772e-06,0.0722504745662694
50,housing increases income affordable loans insurance apartments rent neighborhoods tax,-82.81653881360245,-85.15782947653122,20.457216605961356,0.5141988906862126,0.9991525732832685,0.0008806034109557298,0.0005364900220753119,0.2375643534213174,2.4860287737696765e-06,0.060623266212998024
