ID,Topic,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
1,knew stood family sleeping sat ali old shaking visited memories,-91.06663911433853,-93.06590363228091,24.44725344679189,0.5164505632903518,0.9828403569247289,0.016804696006361794,0.0026288616367864527,0.28159864791741823,1.6777598059499492e-05,0.07698270607951692
2,art collection fashion designer works wear artist dealer museum collections,-70.79449199109244,-71.69950323229637,34.787453395275996,0.5244155252008866,0.9827940007454776,0.016037916834152927,0.0026849839635163224,0.30314380576151934,1.3376514307404877e-05,0.0840376525162394
3,court judge case cases prosecutors prosecution sentenced criminal trial charges,-56.121211220693034,-56.46645588879629,33.52869609512654,0.524095601765207,0.9860587185730014,0.012781937694043738,0.0023419132706979408,0.46727726087424376,9.67243758647607e-06,0.0726283158863962
4,united islamic military state government officials attacks iraq war forces,-58.07238106600047,-58.295563033915755,-5.060684259016702,0.49551096989259324,0.9851995408125883,0.013892416729721368,0.0023957863684626016,0.4301058865294512,9.492666880700047e-06,0.07703956281547644
5,recipe food recipes cooking meal cook dishes salad cheese chicken,-42.72162683142603,-43.53413187789772,89.58909799276658,0.5618006007131264,0.97977086124755,0.019435189994049716,0.0028301816452374453,0.41199500678479467,1.0032495817743285e-05,0.07210235621235767
6,percent billion company reported year million bank market crude price,-64.5678812692948,-64.88916875076994,-15.960096720784643,0.48667217076653346,0.9888716770373734,0.010047143482813393,0.002057132063144623,0.4944036419408021,1.348975361791123e-05,0.0726165015282095
7,united american states iran president countries sanctions nations nuclear military,-63.6511202826895,-63.98700379616739,-3.117020923155506,0.4969167572270226,0.9869925136463632,0.012051646873202248,0.002220387059195872,0.49152195530614384,1.7107215584547156e-05,0.07707118756266036
8,aaa run home inning season innings yankees pitcher fastball hit,-49.732987861291505,-50.25394470259051,39.87001293223101,0.5280927382556905,0.9886749639427902,0.0104728869331711,0.0020876661586522083,0.4578165179838236,1.1772068217981907e-05,0.08123805788318615
9,dr health experts doctors research prevention women study pregnant hospitals,-71.4196824659228,-72.24995448616977,12.797889171873939,0.5084940870535769,0.9853964707275474,0.013703001876941939,0.002340704655788089,0.3359651019797658,1.3924364841913575e-05,0.08384723592083804
10,run aaa home left inning innings mets season hit metsa,-66.21116572664013,-66.78537553941707,25.7397898913063,0.5181081168451649,0.9889005177762544,0.010102108630333619,0.0020833794679228613,0.4691619552117646,1.701526395142139e-05,0.08171699755547567
11,percent economy economic market global sharply prices spending increase rate,-59.445802700369455,-59.76690571405362,19.303298804396103,0.5138057525544196,0.986547685477589,0.012314121426155022,0.0022297350308380258,0.3798622554789469,1.604308314069835e-05,0.08049295021350779
12,company companies business technology industry software companyas executive customers google,-54.825580784560934,-55.06388156266636,11.93164980504536,0.5087861586864257,0.9862455957614873,0.013269441528263053,0.002231276302135378,0.40224274709178787,1.0746431637649636e-05,0.07517503319455018
13,dr researchers doctors research scientists patients study patient scientist clinic,-78.29387943138322,-79.97640598631779,31.339990490002464,0.5214972477577083,0.9854833152996741,0.014011593879967416,0.002371718752178659,0.3141384656058824,1.9337025418117235e-05,0.08166364673767623
14,election clinton mrs democratic sanders voters barack donald hillary presidential,-30.287148857504476,-30.539453368014865,36.41425389988757,0.5273574673424758,0.9932542496768227,0.006212208641468686,0.0015986484324071427,0.7504804235132201,1.8194234824272764e-05,0.07667834928594429
15,technology online manufacturers use service products internet google information search,-67.03360424799087,-67.92116365158013,12.856326310461393,0.509040317226818,0.9842786673788211,0.014723030218324202,0.0024298434006367695,0.3164471788521583,1.030378686379123e-05,0.07916495004815863
16,players tournament qualifying kick final champions won madrid manchester champion,-59.861446605453,-60.91451932748549,49.981846220708725,0.5340942847331017,0.9898727152771727,0.009632554583445054,0.001934110216905,0.32095682834067696,1.2016527110613035e-05,0.07915472407818445
17,athe music netflix film theater song character movie producer lyrics,-71.96119808766636,-73.12393032073707,20.696180940750917,0.5142370258475368,0.9842561008967192,0.014799982337873751,0.0024833463042127743,0.316511892390369,1.3256958699957577e-05,0.06842946947593224
18,athe music theater film new musical lincoln audiences singer premiere,-79.04691465611614,-79.71887599515466,14.535094968934903,0.5087169010790932,0.9833768739170765,0.015428921142779108,0.002530505556848567,0.3184179871713557,9.46107164614525e-06,0.07135091216691128
19,mr investigation cuomo comment lawyer testimony behalf blasio case filed,-69.04485696412716,-70.48058430260744,-2.8635479723756614,0.49727109835017297,0.9835636743706324,0.015333535306048968,0.00253539573787169,0.36036563148962564,1.7799049712150707e-05,0.07839909332922593
20,union european europe british britain minister continent leave leaving europeas,-55.67598969288288,-56.07159273351852,33.847344648079414,0.5240228885138102,0.990803591114448,0.008685186063158781,0.0018223929990013289,0.4804196217359151,1.430305969748751e-05,0.08084515786608669
21,students school teachers colleges student education teach campus educational gender,-61.05843212063491,-62.23955269588081,38.838668198524665,0.5262767557505774,0.9827846225960442,0.01544536234588841,0.0025952772949290794,0.36130925197597485,1.2262081823202397e-05,0.07796780996249872
22,game rebounds series games forward postseason minutes conference defenseman playoffs,-67.30202745970007,-123.00609374456194,31.670486774490357,0.5174534079205471,0.9900346871817234,0.009227919759228428,0.001991685873998569,0.4815185232940434,1.538711679987123e-05,0.07285699231671902
23,company million billion financial executive companies business deal board transaction,-54.53415434857546,-54.73042497621393,-2.5413091288804246,0.49749228896009784,0.9868982690451287,0.012031958490431954,0.0022599181507508767,0.504955432274795,1.4680354245599151e-05,0.06919287341149745
24,itas like iam think donat lot know thatas really people,-23.481467704636692,-23.51746758912061,-8.649528197107617,0.492176921831724,0.9789219322240776,0.01948782512496294,0.0028924031708094295,0.7991897592494179,1.2254780396988432e-05,0.07483893954543029
25,islamic aid group forces iraq soldiers officials government attacks rescue,-65.67716300006424,-66.5156820579575,10.429486500474722,0.5069442621169735,0.9844667221568367,0.014481701724880143,0.0024237381402421876,0.3203566150154469,1.5822417517635e-05,0.07028735335456715
26,new york graduated received university bride daughter officiated college couple,-53.9530839999904,-54.139557927554364,29.11987910866637,0.5211754734852622,0.9812280472978258,0.016156517519168957,0.002636370045578544,0.490612822071705,1.470971076859888e-05,0.08344485921210436
27,like itas make good just donat recipe want terrific youall,-69.60548741874628,-69.88553408420066,-2.681273807345473,0.49639126679672335,0.9819242700426236,0.016886448987262447,0.002729763543616165,0.6777695951134516,1.5016382121663443e-05,0.07920518757109117
28,water sand lake cafe restaurant island visitors hotel tours breakfast,-93.76845137454532,-97.36574101254863,30.47076631949244,0.5199529816848618,0.9837260259359114,0.015852907329122406,0.002513543092480266,0.2233434209486027,1.1545144835350524e-05,0.06995899735475786
29,fashion artist wear collection designer art aesthetic collections museum worn,-67.91607523765218,-68.87446238750427,48.92841537170481,0.533700554378475,0.984653388874469,0.014422899225828567,0.0024794213329369388,0.28040360314910306,1.1239916491117724e-05,0.08348576546327219
30,agency russiaas russian russia athletes international janeiro doping report zika,-71.11212998744074,-72.69494632620733,15.443055081105747,0.5111472355224532,0.9850326299760233,0.013711028110293254,0.0023664573619568124,0.3176608257156081,1.0928865506692655e-05,0.07640080203905746
31,union european minister political europe britain prime president country british,-40.34188983817219,-40.51428936222287,2.0532408283006776,0.5015448710029831,0.9885035177489734,0.010862053076202843,0.002083014816759601,0.4811598760734239,1.8550616605476822e-05,0.07733448388612635
32,media news facebook social instagram post online posting twitter outlets,-72.3956709765148,-73.11786122754576,29.55034695611598,0.5206508676701636,0.9819621788753278,0.01705464146668897,0.002644664634649311,0.33305815902497476,1.5199629791928067e-05,0.08129701322171837
33,city residents building elevator new apartment broker trains apartments bedroom,-83.92633063672099,-85.32747252206023,17.806333469275323,0.5110979152830293,0.9843149243030858,0.01438377786897344,0.0025029453823487567,0.3632925124898948,1.1396522878292966e-05,0.08158653757660762
34,said ai ms aa ait remembers abut impressed ayou recalled,-68.39063440372635,-68.7432717325422,-3.559523045169124,0.49459634025100363,0.987969685610232,0.011296521357963338,0.0021950188015910656,0.5178155918661219,1.4159532648131415e-05,0.07883933948384747
35,china united american chinese chinaas security hong planes south communist,-69.96794642308711,-70.98991995540625,-9.534351919629602,0.48772820647114573,0.9858117568554338,0.012921625196045677,0.0023310106129688203,0.412316523183595,8.748228809594547e-06,0.08529866237849978
36,republican presidential election clinton mrs campaign trump democratic speeches senator,-38.51146402425925,-38.7677261165523,9.345087179332646,0.5066408537388037,0.9938208131871213,0.005829143642143367,0.0015402661467176443,0.8298934656338289,3.0857273071585404e-05,0.06882963297743533
37,mr republican trump campaign donor republicans donald presidential raising senate,-49.765468357737,-50.09949804798765,-5.243069874326042,0.4947524320831906,0.9917155586362462,0.007782552779113799,0.0017652210495478556,0.6182870038920453,1.8777948226524494e-05,0.0754111635687852
38,insurance percent workers tax costs employers benefits increases costly income,-66.8704664207338,-67.73923908254247,27.084162372921433,0.5180264297545282,0.9828289636513526,0.01612625156404858,0.0025981192024846322,0.2930525899028515,1.4801681504905078e-05,0.07719939912659564
39,times news review new insights editor briefing letters delivery posted,-83.20331178952672,-84.42924069521403,9.619916306839755,0.5062964635528413,0.9859658296136956,0.01210894876978269,0.0022797615278437357,0.38992753823014625,1.1124546957772069e-05,0.07786980628915044
40,law transgender state democrat rights discrimination senate legislation lawmakers federal,-71.42756283551878,-72.25212568610172,7.502469329866146,0.5051712986131452,0.9839840715822371,0.014571586779498285,0.002534859637538994,0.2881828451191084,1.4541617312519714e-05,0.08121121027764765
41,ai like hadnat know breath aiall iam didnat knew love,-51.224333948346036,-51.95327786284896,18.019121324035652,0.5115035530826907,0.9876568279694836,0.011814148771585913,0.0022334957166616097,0.5668780095843725,1.4009232471903021e-05,0.07603398818593395
42,book athe writer fiction read literary story novel write writers,-58.73396555730141,-59.31210863111442,48.87672629603219,0.5337321496846088,0.9835275482071446,0.016857107561544127,0.002508399487365863,0.2865416277308572,1.5378785612786157e-05,0.0811183674749224
43,ali people boxing lesbian pride flags parade funeral family tragedy,-76.25430768697737,-107.54841314951985,5.442829011262015,0.49137527610138726,0.9872432966392156,0.012268195815763192,0.0021976383704573237,0.27865537628025233,1.4183442136566387e-05,0.07886519939147339
44,officers officer police sentenced misconduct death convicted charges prosecutor charged,-59.80671267177487,-60.41469640738697,38.71525158321934,0.5270807036133184,0.9862569195364468,0.012568189426515391,0.0022742197278700967,0.3688123296925115,1.0902957519866383e-05,0.06812595217367559
45,police officers shooting massacre guns killing authorities gun shootings orlando,-62.126998365632765,-62.84297490738065,34.65431593713566,0.5241749212508025,0.9859112213558495,0.01300352443121603,0.002309005545489015,0.34978718229092476,1.093375193080463e-05,0.0778032257479342
46,city building feet built foot historic residential house floor street,-58.14281200020705,-58.457094738338974,17.35986729730875,0.5121777086718505,0.9846402566261448,0.01417779448820359,0.0024210712431477913,0.3095035717069808,1.3453877716758811e-05,0.0703665192079045
